index,mutator,payload_len,timestamp_utc,outcome,response_len,error
79,mutate_ext_header_no_data,38,2026-08-30T06:24:30.782294,sent+no_response,,
80,mutate_bit_flip,38,2026-08-30T06:24:31.483483,sent+response,28,
81,mutate_truncated_header,2,2026-08-30T06:24:31.684494,sent+no_response,,
82,mutate_teid_flap,38,2026-08-30T06:24:32.385782,sent+response,28,
83,mutate_bad_message_type,38,2026-08-30T06:24:32.586666,sent+no_response,,
84,mutate_echo_request_storm,8,2026-08-30T06:24:33.287977,sent+response,10,
85,mutate_length_mismatch,38,2026-08-30T06:24:33.488878,sent+response,28,
86,mutate_seq_flag_no_seq,8,2026-08-30T06:24:33.689798,sent+no_response,,
87,mutate_echo_request_storm,8,2026-08-30T06:24:34.391012,sent+response,10,
88,mutate_bad_message_type,38,2026-08-30T06:24:34.591952,sent+no_response,,
89,mutate_length_mismatch,38,2026-08-30T06:24:35.293120,sent+response,28,
90,mutate_length_mismatch,38,2026-08-30T06:24:35.494071,sent+response,28,
91,mutate_truncated_header,7,2026-08-30T06:24:35.695033,sent+no_response,,
92,mutate_length_mismatch,38,2026-08-30T06:24:36.396345,sent+response,28,
93,mutate_bit_flip,38,2026-08-30T06:24:36.597254,sent+no_response,,
94,mutate_teid_flap,38,2026-08-30T06:24:37.298558,sent+response,28,
95,mutate_ext_header_no_data,38,2026-08-30T06:24:37.499544,sent+no_response,,
96,mutate_teid_flap,38,2026-08-30T06:24:38.200841,sent+response,28,
97,mutate_length_mismatch,38,2026-08-30T06:24:38.401843,sent+response,28,
98,mutate_seq_flag_no_seq,8,2026-08-30T06:24:38.602678,sent+no_response,,
99,mutate_truncated_header,6,2026-08-30T06:24:39.303966,sent+no_response,,
100,mutate_jumbo_payload,38,2026-08-30T06:24:40.005253,sent+response,28,
101,mutate_jumbo_payload,38,2026-08-30T06:24:40.206178,sent+response,28,
102,mutate_jumbo_payload,38,2026-08-30T06:24:40.407151,sent+response,28,
103,mutate_jumbo_payload,38,2026-08-30T06:24:40.608097,sent+response,28,
104,mutate_bad_version,38,2026-08-30T06:24:40.809062,sent+no_response,,
105,mutate_length_mismatch,38,2026-08-30T06:24:41.510365,sent+response,28,
106,mutate_length_mismatch,38,2026-08-30T06:24:41.711293,sent+response,28,
107,mutate_truncated_header,5,2026-08-30T06:24:41.912200,sent+no_response,,
108,mutate_bad_message_type,38,2026-08-30T06:24:42.613356,sent+no_response,,
109,mutate_seq_flag_no_seq,8,2026-08-30T06:24:43.314590,sent+no_response,,
110,mutate_jumbo_payload,38,2026-08-30T06:24:44.015251,sent+response,28,
111,mutate_jumbo_payload,38,2026-08-30T06:24:44.216024,sent+response,28,
112,mutate_bad_message_type,38,2026-08-30T06:24:44.416858,sent+no_response,,
113,mutate_teid_flap,38,2026-08-30T06:24:45.117950,sent+response,28,
114,mutate_bad_message_type,38,2026-08-30T06:24:45.318839,sent+no_response,,
115,mutate_jumbo_payload,38,2026-08-30T06:24:46.019925,sent+response,28,
116,mutate_bad_message_type,38,2026-08-30T06:24:46.220659,sent+no_response,,
117,mutate_bit_flip,38,2026-08-30T06:24:46.921423,sent+response,28,
118,mutate_jumbo_payload,38,2026-08-30T06:24:47.122065,sent+response,28,
119,mutate_teid_flap,38,2026-08-30T06:24:47.322898,sent+response,28,
120,mutate_bad_message_type,38,2026-08-30T06:24:47.523596,sent+no_response,,
121,mutate_seq_flag_no_seq,8,2026-08-30T06:24:48.224838,sent+no_response,,
122,mutate_teid_flap,38,2026-08-30T06:24:48.925855,sent+response,28,
123,mutate_ext_header_no_data,38,2026-08-30T06:24:49.126423,sent+no_response,,
124,mutate_bad_message_type,38,2026-08-30T06:24:49.827367,sent+no_response,,
125,mutate_seq_flag_no_seq,8,2026-08-30T06:24:50.528573,sent+no_response,,
126,mutate_ext_header_no_data,38,2026-08-30T06:24:51.229247,sent+no_response,,
127,mutate_length_mismatch,38,2026-08-30T06:24:51.930294,sent+response,28,
128,mutate_bad_message_type,38,2026-08-30T06:24:52.131000,sent+no_response,,
129,mutate_truncated_header,2,2026-08-30T06:24:52.832256,sent+no_response,,
130,mutate_teid_flap,38,2026-08-30T06:24:53.533334,sent+response,28,
131,mutate_teid_flap,38,2026-08-30T06:24:53.734023,sent+response,28,
132,mutate_seq_flag_no_seq,8,2026-08-30T06:24:53.934774,sent+no_response,,
133,mutate_seq_flag_no_seq,8,2026-08-30T06:24:54.635894,sent+no_response,,
134,mutate_truncated_header,4,2026-08-30T06:24:55.337008,sent+no_response,,
135,mutate_bad_version,38,2026-08-30T06:24:56.037861,sent+no_response,,
136,mutate_jumbo_payload,38,2026-08-30T06:24:56.738939,sent+response,28,
137,mutate_ext_header_no_data,38,2026-08-30T06:24:56.939483,sent+no_response,,
138,mutate_bad_message_type,38,2026-08-30T06:24:57.640663,sent+no_response,,
139,mutate_teid_flap,38,2026-08-30T06:24:58.341381,sent+response,28,
140,mutate_bad_version,38,2026-08-30T06:24:58.542008,sent+no_response,,
141,mutate_ext_header_no_data,38,2026-08-30T06:24:59.243197,sent+no_response,,
142,mutate_length_mismatch,38,2026-08-30T06:24:59.944350,sent+response,28,
143,mutate_ext_header_no_data,38,2026-08-30T06:25:00.144980,sent+no_response,,
144,mutate_length_mismatch,38,2026-08-30T06:25:00.846272,sent+response,28,
145,mutate_jumbo_payload,38,2026-08-30T06:25:01.047065,sent+response,28,
146,mutate_truncated_header,6,2026-08-30T06:25:01.247761,sent+no_response,,
147,mutate_bad_message_type,38,2026-08-30T06:25:01.948349,sent+no_response,,
148,mutate_length_mismatch,38,2026-08-30T06:25:02.649591,sent+response,28,
149,mutate_bad_message_type,38,2026-08-30T06:25:02.850435,sent+no_response,,
150,mutate_bad_version,38,2026-08-30T06:25:03.551373,sent+no_response,,
151,mutate_ext_header_no_data,38,2026-08-30T06:25:04.252627,sent+no_response,,
152,mutate_bit_flip,38,2026-08-30T06:25:04.953375,sent+response,28,
153,mutate_seq_flag_no_seq,8,2026-08-30T06:25:05.154058,sent+no_response,,
154,mutate_echo_request_storm,8,2026-08-30T06:25:05.855106,sent+response,10,
155,mutate_length_mismatch,38,2026-08-30T06:25:06.055626,sent+response,28,
156,mutate_teid_flap,38,2026-08-30T06:25:06.256054,sent+response,28,
157,mutate_bad_version,38,2026-08-30T06:25:06.456544,sent+no_response,,
158,mutate_ext_header_no_data,38,2026-08-30T06:25:07.157312,sent+no_response,,
159,mutate_ext_header_no_data,38,2026-08-30T06:25:07.858564,sent+no_response,,
160,mutate_teid_flap,38,2026-08-30T06:25:08.559338,sent+response,28,
161,mutate_length_mismatch,38,2026-08-30T06:25:08.759983,sent+response,28,
162,mutate_bad_version,38,2026-08-30T06:25:08.960699,sent+no_response,,
163,mutate_bad_version,38,2026-08-30T06:25:09.662009,sent+no_response,,
164,mutate_jumbo_payload,38,2026-08-30T06:25:10.363016,sent+response,28,
165,mutate_teid_flap,38,2026-08-30T06:25:10.563710,sent+response,28,
166,mutate_truncated_header,1,2026-08-30T06:25:10.764452,sent+no_response,,
167,mutate_echo_request_storm,8,2026-08-30T06:25:11.465664,sent+response,10,
168,mutate_echo_request_storm,8,2026-08-30T06:25:11.666459,sent+response,10,
169,mutate_teid_flap,38,2026-08-30T06:25:11.867216,sent+response,28,
170,mutate_length_mismatch,38,2026-08-30T06:25:12.068014,sent+response,28,
171,mutate_bad_version,38,2026-08-30T06:25:12.268849,sent+no_response,,
172,mutate_bad_version,38,2026-08-30T06:25:12.970065,sent+no_response,,
173,mutate_ext_header_no_data,38,2026-08-30T06:25:13.671368,sent+no_response,,
174,mutate_length_mismatch,38,2026-08-30T06:25:14.372399,sent+response,28,
175,mutate_echo_request_storm,8,2026-08-30T06:25:14.573096,sent+response,10,
176,mutate_teid_flap,38,2026-08-30T06:25:14.773847,sent+response,28,
177,mutate_length_mismatch,38,2026-08-30T06:25:14.974616,sent+response,28,
178,mutate_truncated_header,1,2026-08-30T06:25:15.175433,sent+no_response,,
179,mutate_seq_flag_no_seq,8,2026-08-30T06:25:15.876631,sent+no_response,,
180,mutate_seq_flag_no_seq,8,2026-08-30T06:25:16.577913,sent+no_response,,
181,mutate_jumbo_payload,38,2026-08-30T06:25:17.279177,sent+response,28,
182,mutate_teid_flap,38,2026-08-30T06:25:17.480009,sent+response,28,
183,mutate_length_mismatch,38,2026-08-30T06:25:17.680839,sent+response,28,
184,mutate_echo_request_storm,8,2026-08-30T06:25:17.881676,sent+response,10,
185,mutate_ext_header_no_data,38,2026-08-30T06:25:18.082479,sent+no_response,,
186,mutate_teid_flap,38,2026-08-30T06:25:18.783694,sent+response,28,
187,mutate_bad_message_type,38,2026-08-30T06:25:18.984521,sent+no_response,,
188,mutate_bit_flip,38,2026-08-30T06:25:19.685602,sent+response,28,
189,mutate_ext_header_no_data,38,2026-08-30T06:25:19.886126,sent+no_response,,
190,mutate_teid_flap,38,2026-08-30T06:25:20.587300,sent+response,28,
191,mutate_truncated_header,2,2026-08-30T06:25:20.788034,sent+no_response,,
192,mutate_bit_flip,38,2026-08-30T06:25:21.489321,sent+response,28,
193,mutate_jumbo_payload,38,2026-08-30T06:25:21.690145,sent+response,28,
194,mutate_jumbo_payload,38,2026-08-30T06:25:21.890977,sent+response,28,
195,mutate_bad_version,38,2026-08-30T06:25:22.091726,sent+no_response,,
196,mutate_bit_flip,38,2026-08-30T06:25:22.792986,sent+response,28,
197,mutate_seq_flag_no_seq,8,2026-08-30T06:25:22.993869,sent+no_response,,
198,mutate_bad_message_type,38,2026-08-30T06:25:23.695038,sent+no_response,,
199,mutate_truncated_header,5,2026-08-30T06:25:24.396323,sent+no_response,,
